ID,Code,Salary,Occupacy,Ages,Weight,Size,Feet_size,Performance
77,56*****,Medium,Y,17+,42.3,100.3,39,0
78,45*****,Medium,Y,<17,38.7,100.9,38,0
79,45*****,Low,N,17+,23.2,180.1,41,0
80,34*****,Medium,Y,17+,65.9,100.4,39,1
81,34*****,High,Y,17+,56.6,188.7,41,1
82,56*****,High,Y,<17,68.8,107.6,37,1
83,56*****,Low,N,17+,30.1,153.6,41,1
84,45*****,Medium,Y,17+,54.8,198.7,39,1
85,23*****,High,Y,<17,73.5,186.4,38,0
86,34*****,High,Y,<17,60.6,145.7,41,1
87,34*****,Low,N,17+,79.4,137.1,34,0
88,23*****,High,Y,17+,59.4,130.7,35,1
89,34*****,High,Y,<17,21.0,131.0,42,0
90,45*****,High,Y,17+,66.5,163.8,35,0
91,56*****,Low,N,<17,70.5,122.2,36,0
92,45*****,Medium,Y,17+,31.1,141.8,37,1
93,34*****,High,Y,17+,20.6,106.8,35,0
94,34*****,High,Y,<17,70.7,124.0,40,1
95,12*****,Medium,Y,<17,36.4,158.5,35,0
96,34*****,Medium,Y,17+,38.5,186.9,35,1
97,12*****,Medium,Y,17+,69.5,104.3,41,0
98,12*****,High,Y,17+,74.2,106.0,41,0
99,56*****,High,Y,<17,54.2,182.5,40,1
100,23*****,Medium,Y,,56.6,193.8,36,0
101,56*****,High,Y,17+,49.7,189.4,39,0
102,12*****,Medium,Y,<17,77.6,144.8,36,1
103,56*****,Medium,Y,<17,69.0,196.5,36,1
104,12*****,Medium,Y,<17,24.7,123.2,34,0
105,56*****,Low,N,17+,52.2,144.5,37,0
106,56*****,High,Y,17+,22.3,145.7,37,1
107,56*****,High,Y,<17,50.3,151.6,34,0
108,34*****,High,Y,17+,62.1,176.9,38,1
109,34*****,Medium,Y,17+,54.1,198.4,35,1
110,23*****,High,Y,<17,24.4,129.6,34,0
111,12*****,Low,N,17+,28.0,106.6,38,1
112,23*****,Low,N,17+,28.0,117.9,40,0
113,12*****,High,Y,17+,51.8,140.4,40,1
114,45*****,Medium,Y,<17,27.1,189.2,37,0
115,45*****,Low,N,<17,48.3,183.7,35,0
116,12*****,Low,N,<17,21.8,112.2,35,1
117,56*****,Medium,Y,<17,71.3,138.0,41,1
118,12*****,Medium,Y,17+,51.3,107.7,38,1
119,23*****,Medium,Y,<17,20.6,110.4,40,0
120,23*****,Medium,Y,<17,43.9,103.4,41,1
121,12*****,Medium,Y,<17,45.9,137.4,42,0
122,34*****,Medium,Y,<17,65.8,115.2,34,0
123,23*****,Medium,Y,<17,47.5,122.3,40,1
124,23*****,High,Y,<17,45.9,171.8,39,0
125,45*****,Medium,Y,<17,32.0,146.6,38,1
126,12*****,High,Y,<17,29.8,195.1,35,0
127,56*****,High,Y,<17,35.5,115.2,37,0
128,23*****,Medium,Y,<17,32.6,182.2,38,1
129,12*****,Medium,Y,17+,62.5,129.3,41,1
130,12*****,High,Y,17+,76.0,153.3,40,1
131,45*****,Low,N,17+,73.3,122.5,39,0
132,12*****,Low,N,17+,35.3,191.1,42,0
133,12*****,Low,N,<17,56.7,136.2,37,1
134,56*****,High,Y,<17,48.3,166.3,42,1
135,12*****,Medium,Y,17+,67.9,151.6,37,1
136,56*****,High,Y,17+,64.4,124.7,40,0
137,56*****,Low,N,<17,27.8,171.1,38,1
138,34*****,Medium,Y,<17,30.4,124.1,34,1
139,45*****,High,Y,<17,38.2,153.5,38,0
140,56*****,Low,N,<17,42.5,161.9,37,1
141,12*****,Medium,Y,<17,70.0,122.5,37,0
142,67*****,High,Y,17+,20.6,105.0,34,1
143,23*****,Medium,Y,<17,42.7,167.5,37,1
144,12*****,Low,N,<17,33.3,167.7,40,1
145,12*****,Medium,Y,<17,34.6,127.1,35,1
146,12*****,High,Y,<17,62.4,151.8,34,1
147,67*****,High,Y,<17,33.0,191.5,35,1
148,23*****,Medium,Y,17+,47.0,187.9,42,1
149,45*****,Medium,Y,<17,29.5,111.7,38,1
150,12*****,High,Y,<17,54.2,138.2,42,1
151,45*****,Low,N,<17,25.7,186.9,39,1
152,56*****,Medium,Y,<17,24.9,172.4,38,0
153,56*****,Medium,Y,<17,24.6,146.0,42,0
154,12*****,High,Y,<17,34.2,153.1,35,1
155,45*****,High,Y,17+,57.8,165.5,37,1
156,56*****,High,Y,<17,45.6,125.2,34,0
157,45*****,High,Y,<17,54.9,137.7,38,0
158,23*****,Medium,Y,<17,43.3,158.2,35,0
159,56*****,High,Y,<17,48.5,169.0,36,1
160,34*****,High,Y,17+,24.3,162.6,34,1
161,23*****,High,Y,<17,62.8,146.0,34,1
162,56*****,High,Y,<17,66.9,154.4,41,0
163,12*****,Medium,Y,17+,47.5,143.9,38,1
164,12*****,High,Y,<17,47.4,159.2,37,1
165,12*****,High,Y,17+,42.6,137.2,37,0
166,67*****,High,Y,<17,35.6,110.1,34,0
167,12*****,Medium,Y,<17,48.9,184.4,38,1
168,56*****,High,Y,<17,39.1,174.6,38,0
169,56*****,High,Y,17+,73.7,153.2,39,1
170,67*****,High,Y,<17,62.4,151.6,40,1
171,12*****,High,Y,17+,50.5,168.2,35,1
172,56*****,Medium,Y,<17,20.8,155.3,34,0
173,12*****,High,Y,<17,37.5,128.1,37,1
174,23*****,Medium,Y,<17,33.6,169.8,40,0
175,34*****,High,Y,17+,20.2,180.7,38,1
176,56*****,High,Y,<17,77.5,149.4,34,1
177,56*****,Low,N,<17,72.2,135.2,34,0
178,56*****,High,Y,<17,61.4,119.5,37,0
179,56*****,High,Y,<17,72.1,183.0,38,1
180,12*****,High,Y,17+,63.1,182.4,34,1
181,12*****,High,Y,<17,45.4,198.7,38,1
182,45*****,Medium,Y,<17,44.9,110.1,39,1
183,45*****,High,Y,<17,55.5,142.5,37,1
184,34*****,Medium,Y,<17,65.3,194.9,39,1
185,56*****,High,Y,17+,38.3,165.0,37,1
186,23*****,Low,N,17+,74.1,168.9,39,1
187,12*****,Medium,Y,,30.3,106.3,38,0
188,12*****,High,Y,17+,21.9,149.4,41,1
189,12*****,High,Y,<17,69.9,132.3,37,1
190,12*****,Medium,Y,<17,24.4,151.7,40,1
191,23*****,Medium,Y,17+,21.7,105.1,35,0
192,34*****,Medium,Y,<17,40.9,136.5,35,1
193,34*****,Low,N,<17,33.9,199.1,39,0
194,12*****,High,Y,17+,57.1,155.6,36,0
195,23*****,Medium,Y,<17,71.5,133.5,37,1
196,12*****,Low,N,<17,58.7,101.9,41,1
197,56*****,High,Y,<17,25.8,109.7,40,1
198,34*****,High,Y,<17,28.4,130.6,35,1
199,12*****,Low,N,<17,77.6,129.3,42,1
200,34*****,High,Y,<17,35.9,134.7,36,0
201,12*****,High,Y,17+,38.1,152.8,37,1
202,12*****,High,Y,<17,44.2,179.3,35,0
203,12*****,High,Y,<17,27.7,141.9,35,0
204,56*****,Medium,Y,<17,51.3,176.8,37,0
205,45*****,Medium,Y,<17,53.7,153.2,42,1
206,12*****,Medium,Y,<17,22.3,191.6,38,1
207,12*****,High,Y,<17,33.0,198.3,39,1
208,45*****,High,Y,17+,32.8,135.0,38,1
209,34*****,Medium,Y,<17,75.4,131.2,37,1
210,34*****,High,Y,<17,37.3,120.0,41,1
211,45*****,Low,N,17+,50.5,135.9,37,0
212,23*****,Medium,Y,17+,21.4,166.2,37,0
213,23*****,Low,N,<17,67.4,155.1,37,0
214,56*****,High,Y,17+,47.9,194.7,34,1
215,45*****,High,Y,<17,46.1,150.0,39,1
216,23*****,Medium,Y,17+,42.2,163.4,38,0
217,12*****,High,Y,<17,22.3,111.3,35,0
218,34*****,High,Y,<17,64.8,151.5,38,0
219,56*****,Low,N,<17,56.5,194.8,37,1
220,23*****,High,Y,<17,35.7,168.5,35,1
221,12*****,Medium,Y,<17,50.8,183.7,40,1
222,45*****,High,Y,<17,71.5,111.0,36,0
223,23*****,Low,N,17+,50.6,118.7,40,0
224,23*****,High,Y,<17,38.2,104.0,41,1
225,45*****,Medium,Y,17+,21.9,107.5,40,1
226,67*****,Medium,Y,17+,41.6,183.9,40,1
227,56*****,High,Y,<17,48.3,126.7,41,1
228,56*****,High,Y,<17,48.3,189.7,37,1
229,56*****,Medium,Y,17+,59.3,161.3,34,1
230,34*****,High,Y,<17,30.9,177.1,38,1
231,34*****,Medium,Y,<17,26.3,139.1,35,1
232,34*****,High,Y,<17,64.6,105.3,41,0
233,34*****,High,Y,<17,25.4,105.4,41,0
234,56*****,Medium,Y,17+,41.4,136.5,37,1
235,45*****,Low,N,17+,66.0,124.0,42,0
236,12*****,Low,N,<17,37.6,112.8,37,0
237,12*****,Medium,Y,17+,71.0,132.4,40,0
238,12*****,High,Y,17+,73.3,101.3,38,0
239,67*****,Medium,Y,17+,65.8,159.1,39,1
240,45*****,High,Y,17+,76.6,192.0,38,0
241,23*****,High,Y,<17,52.6,118.8,39,0
242,12*****,High,Y,<17,72.2,132.7,40,1
243,56*****,Medium,Y,<17,79.0,113.7,41,1
244,67*****,Medium,Y,<17,58.3,173.7,40,0
245,34*****,Low,N,<17,47.9,189.0,41,1
246,12*****,High,Y,17+,42.9,114.9,36,0
247,67*****,High,Y,<17,24.8,121.2,34,1
248,34*****,High,Y,17+,35.8,124.1,42,1
249,56*****,Low,N,<17,32.9,133.9,37,1
250,12*****,Medium,Y,<17,21.2,168.9,40,1
251,56*****,High,Y,<17,50.2,103.8,40,1
252,45*****,High,Y,17+,58.5,164.2,38,1
253,34*****,Medium,Y,17+,61.5,173.7,36,1
254,56*****,High,Y,,38.2,172.3,38,1
255,34*****,Low,N,<17,66.5,192.1,40,0
256,56*****,High,Y,17+,63.6,181.2,42,0
257,67*****,High,Y,<17,51.4,197.1,39,1
258,12*****,High,Y,<17,23.9,146.8,34,1
259,12*****,High,Y,<17,51.5,172.2,38,1
260,12*****,Medium,Y,<17,54.8,165.1,42,0
261,34*****,Medium,Y,<17,31.0,168.2,42,1
262,12*****,Medium,Y,<17,48.6,159.8,39,1
263,45*****,Low,N,<17,29.2,196.5,41,1
264,12*****,Low,N,<17,60.2,152.1,36,0
265,56*****,High,Y,<17,56.1,153.2,38,0
266,34*****,High,Y,17+,42.0,200.0,34,0
267,12*****,Medium,Y,<17,40.1,142.3,34,0
268,67*****,High,Y,17+,27.6,149.9,38,0
269,56*****,High,Y,17+,44.2,157.7,34,1
270,56*****,High,Y,<17,49.4,156.5,40,0
271,23*****,High,Y,<17,22.6,195.5,34,0
272,12*****,Low,N,17+,69.2,123.0,40,1
273,45*****,High,Y,<17,40.9,197.8,41,1
274,34*****,High,Y,17+,40.9,146.8,37,1
275,56*****,High,Y,<17,38.4,136.5,36,1
276,45*****,High,Y,17+,62.7,125.9,35,1
277,45*****,Medium,Y,<17,63.5,101.2,38,1
278,45*****,Low,N,<17,74.3,187.7,36,1
279,45*****,High,Y,17+,48.8,114.7,41,0
280,45*****,High,Y,17+,43.3,158.4,39,1
281,56*****,Medium,Y,17+,35.1,133.6,38,1
282,45*****,High,Y,<17,59.0,188.7,35,0
283,56*****,High,Y,<17,53.9,193.0,39,0
284,12*****,High,Y,17+,77.3,113.8,38,1
285,67*****,High,Y,<17,29.7,134.1,41,1
286,23*****,High,Y,<17,65.5,192.9,38,0
287,12*****,Medium,Y,<17,59.3,144.5,34,0
288,56*****,Medium,Y,<17,31.8,124.9,39,1
289,56*****,Low,N,17+,56.9,187.4,36,0
290,45*****,High,Y,<17,36.6,143.8,37,0
291,34*****,High,Y,<17,27.8,131.4,42,1
292,12*****,Low,N,17+,79.5,132.1,39,1
293,23*****,Low,N,<17,72.6,148.8,38,0
294,45*****,Medium,Y,<17,71.5,146.9,39,1
295,56*****,High,Y,<17,59.5,182.1,36,0
296,12*****,Low,N,<17,37.7,125.0,40,0
297,23*****,High,Y,17+,32.2,127.7,41,1
298,34*****,Medium,Y,<17,73.4,173.7,34,0
299,56*****,Low,N,17+,55.7,168.2,42,1
300,12*****,High,Y,<17,22.8,145.1,42,1
301,56*****,High,Y,<17,30.7,194.2,37,1
302,12*****,Low,N,<17,35.5,182.5,39,1
303,45*****,High,Y,17+,52.7,184.9,37,1
304,56*****,Low,N,17+,26.8,100.2,34,0
305,34*****,Medium,Y,17+,20.1,179.5,34,1
306,12*****,High,Y,17+,37.5,174.9,39,1
307,34*****,High,Y,17+,79.1,145.1,39,1
308,34*****,Low,N,<17,53.2,195.6,37,1
309,45*****,High,Y,,74.8,136.9,37,0
310,56*****,Medium,Y,<17,22.5,101.4,39,0
311,67*****,High,Y,17+,27.6,177.0,35,0
312,23*****,Medium,Y,<17,66.0,183.5,38,1
313,45*****,High,Y,<17,49.8,141.7,42,0
314,45*****,Low,N,17+,37.2,173.6,34,0
315,56*****,Low,N,<17,43.3,139.6,40,0
316,56*****,Medium,Y,17+,21.3,166.0,42,0
317,45*****,Low,N,17+,72.3,191.8,41,0
318,12*****,Medium,Y,<17,76.4,199.9,41,1
319,56*****,Medium,Y,<17,59.4,178.7,42,1
320,56*****,Medium,Y,<17,51.4,146.1,34,0
321,45*****,High,Y,<17,73.2,159.4,39,1
322,45*****,High,Y,<17,30.2,137.6,41,1
323,56*****,Medium,Y,17+,72.4,142.6,40,0
324,56*****,High,Y,<17,42.4,199.8,35,1
325,45*****,High,Y,<17,43.9,178.7,39,0
326,23*****,Low,N,17+,65.3,130.9,34,0
327,45*****,High,Y,<17,68.5,128.5,38,0
328,67*****,High,Y,<17,79.3,119.8,40,1
329,56*****,Low,N,<17,40.6,115.1,35,0
330,45*****,Low,N,<17,31.3,186.8,39,0
331,34*****,High,Y,17+,27.4,191.9,38,0
332,12*****,High,Y,<17,22.3,100.2,41,1
333,23*****,High,Y,<17,57.4,199.6,42,1
334,56*****,High,Y,17+,55.0,112.4,37,1
335,23*****,High,Y,<17,25.9,128.9,39,1
336,56*****,High,Y,<17,79.3,197.1,35,0
337,56*****,Medium,Y,<17,58.9,164.8,42,0
338,23*****,Medium,Y,<17,61.4,167.2,36,0
339,12*****,High,Y,<17,24.8,123.6,39,1
340,56*****,High,Y,17+,57.7,118.3,36,0
341,56*****,High,Y,<17,59.7,172.0,40,1
342,23*****,High,Y,17+,42.3,136.0,37,0
343,34*****,Low,N,<17,70.2,123.3,41,0
344,56*****,High,Y,<17,76.4,124.4,34,1
345,12*****,High,Y,17+,79.3,182.4,39,1
346,12*****,High,Y,<17,68.6,119.2,40,1
347,45*****,High,Y,<17,67.1,132.4,37,0
348,12*****,High,Y,17+,47.7,168.1,40,0
349,34*****,Medium,Y,17+,73.7,196.0,42,0
350,12*****,Low,N,17+,26.2,177.5,41,0
351,67*****,High,Y,17+,66.2,185.4,40,0
352,45*****,Medium,Y,<17,50.7,150.6,40,0
353,34*****,High,Y,<17,31.7,182.0,40,1
354,45*****,Medium,Y,<17,41.2,151.6,41,0
355,56*****,High,Y,<17,41.3,107.6,37,1
356,56*****,High,Y,<17,75.0,102.3,40,0
357,34*****,Medium,Y,<17,27.5,124.0,40,1
358,23*****,High,Y,17+,29.2,109.8,36,1
359,34*****,Medium,Y,<17,33.8,133.8,35,1
360,67*****,Low,N,<17,52.6,161.5,40,0
361,56*****,Medium,Y,17+,72.9,110.2,41,1
362,67*****,High,Y,<17,38.1,163.1,40,1
363,12*****,High,Y,<17,23.1,172.2,35,1
364,12*****,High,Y,<17,28.1,139.4,36,1
365,45*****,High,Y,17+,58.1,125.3,36,1
366,12*****,High,Y,<17,40.4,175.6,42,1
367,56*****,Medium,Y,17+,31.1,160.7,42,1
368,34*****,Medium,Y,17+,21.1,151.0,35,0
369,45*****,Low,N,<17,68.3,117.1,34,0
370,67*****,High,Y,17+,55.9,103.2,40,0
371,45*****,High,Y,<17,24.9,144.9,38,0
372,12*****,Medium,Y,<17,37.7,168.4,42,0
373,34*****,High,Y,17+,21.8,134.9,34,0
374,12*****,Medium,Y,<17,54.8,145.4,35,0
375,12*****,High,Y,<17,74.1,113.2,36,1
376,23*****,High,Y,<17,32.4,168.8,41,0
377,56*****,High,Y,17+,77.5,195.8,37,0
378,34*****,High,Y,<17,46.3,191.4,35,0
379,45*****,Medium,Y,<17,72.8,145.2,38,1
380,23*****,Low,N,<17,51.2,155.0,39,1
381,23*****,Medium,Y,17+,26.4,135.6,34,0
382,56*****,Low,N,17+,34.6,196.7,35,1
383,34*****,High,Y,<17,62.4,130.1,41,0
384,23*****,High,Y,<17,44.1,174.6,35,0
385,45*****,Low,N,<17,51.6,176.3,37,1
386,34*****,Medium,Y,<17,59.4,160.8,36,0
387,56*****,Medium,Y,17+,77.1,161.2,34,0
388,12*****,High,Y,<17,43.3,193.8,37,1
389,34*****,Low,N,<17,46.4,161.8,35,0
390,12*****,High,Y,<17,70.6,110.6,39,0
391,12*****,Medium,Y,<17,33.0,158.7,34,0
392,56*****,High,Y,,64.8,151.3,34,0
393,12*****,Medium,Y,<17,57.9,158.7,36,0
394,34*****,High,Y,<17,28.1,175.6,41,0
395,12*****,High,Y,<17,52.6,122.4,41,0
396,23*****,High,Y,17+,37.8,162.1,34,1
397,56*****,High,Y,<17,38.8,139.9,42,0
398,56*****,Medium,Y,<17,23.7,130.2,36,1
399,34*****,Medium,Y,<17,20.8,136.1,35,0
400,56*****,High,Y,<17,58.6,135.8,36,1
401,56*****,High,Y,<17,46.7,145.7,36,1
402,34*****,Medium,Y,<17,60.7,102.3,40,1
403,56*****,High,Y,<17,26.3,138.1,40,0
404,56*****,Medium,Y,17+,70.5,104.5,35,1
405,56*****,High,Y,<17,44.7,109.9,40,1
406,12*****,Medium,Y,17+,62.1,164.7,39,0
407,23*****,Medium,Y,17+,35.9,165.4,38,0
408,23*****,Medium,Y,<17,48.5,150.9,35,1
409,34*****,Medium,Y,17+,28.5,122.8,37,1
410,23*****,High,Y,17+,47.8,144.2,39,0
411,67*****,Low,N,<17,37.7,157.3,35,1
412,12*****,Low,N,17+,30.4,150.8,35,0
413,56*****,Medium,Y,<17,37.4,128.6,35,1
414,45*****,Medium,Y,<17,71.4,107.1,37,1
415,56*****,High,Y,<17,58.0,178.3,34,0
416,56*****,Low,N,17+,65.3,178.3,39,1
417,45*****,High,Y,17+,64.3,188.1,41,1
418,12*****,High,Y,17+,44.8,122.8,39,1
419,23*****,Low,N,<17,47.2,192.5,37,0
420,12*****,High,Y,<17,68.7,157.5,42,0
421,56*****,High,Y,<17,57.7,143.1,39,1
422,56*****,High,Y,<17,61.7,118.8,42,1
423,45*****,High,Y,<17,25.8,131.5,35,1
424,12*****,High,Y,17+,43.6,154.7,34,0
425,34*****,Medium,Y,<17,68.5,135.3,40,1
426,12*****,High,Y,<17,55.6,192.7,36,0
427,12*****,Medium,Y,<17,53.8,119.0,41,0
428,23*****,Medium,Y,<17,22.3,117.9,41,1
429,67*****,Low,N,17+,72.1,116.3,38,1
430,56*****,Medium,Y,17+,40.1,185.4,40,0
431,12*****,Medium,Y,<17,65.6,162.4,36,0
432,34*****,Medium,Y,,79.0,137.1,38,0
433,12*****,High,Y,17+,20.6,144.0,40,1
434,56*****,Low,N,<17,77.8,170.0,42,0
435,12*****,High,Y,<17,26.7,175.7,38,0
436,12*****,High,Y,<17,35.1,119.9,42,1
437,34*****,Medium,Y,17+,76.6,147.3,40,0
438,12*****,High,Y,<17,31.8,152.9,37,0
439,56*****,High,Y,<17,73.3,105.6,42,0
440,23*****,High,Y,<17,27.6,168.1,41,0
441,12*****,High,Y,<17,25.0,116.9,35,1
442,56*****,High,Y,<17,33.0,176.7,41,1
443,45*****,High,Y,17+,79.4,165.9,34,1
444,12*****,Medium,Y,,53.9,106.1,35,0
445,45*****,High,Y,<17,70.8,197.0,34,1
446,23*****,High,Y,17+,36.1,101.4,42,0
447,67*****,High,Y,<17,65.6,184.4,40,0
448,56*****,High,Y,<17,39.9,190.2,35,0
449,12*****,High,Y,<17,24.6,181.8,39,0
450,34*****,High,Y,<17,35.1,186.0,34,1
451,12*****,High,Y,<17,57.4,155.8,35,1
452,56*****,Medium,Y,<17,70.4,173.2,34,0
453,12*****,Medium,Y,<17,77.4,181.2,39,0
454,56*****,High,Y,<17,70.7,176.6,41,1
455,56*****,Medium,Y,<17,77.4,198.3,39,1
456,56*****,High,Y,17+,69.9,167.1,40,0
457,56*****,High,Y,,79.9,120.4,37,1
458,56*****,Low,N,<17,77.7,116.6,41,0
459,67*****,High,Y,17+,26.2,104.0,37,1
460,23*****,High,Y,<17,72.7,177.4,35,0
461,12*****,Low,N,<17,31.7,138.3,38,0
462,12*****,Medium,Y,17+,33.5,193.5,35,0
463,12*****,Medium,Y,<17,55.3,199.3,39,0
464,56*****,High,Y,<17,62.4,187.1,38,1
465,56*****,High,Y,17+,44.6,126.2,36,0
466,12*****,Low,N,<17,27.5,146.1,37,1
467,56*****,Medium,Y,<17,27.7,160.3,38,1
468,45*****,High,Y,17+,71.1,110.2,42,0
469,12*****,High,Y,<17,22.6,190.2,36,1
470,67*****,High,Y,17+,53.2,175.4,36,0
471,34*****,Low,N,<17,32.4,199.2,38,0
472,45*****,High,Y,<17,67.3,108.4,38,1
473,34*****,High,Y,17+,70.3,195.1,38,1
474,23*****,High,Y,17+,65.0,189.2,37,1
475,12*****,Medium,Y,<17,26.8,128.5,36,0
476,45*****,Medium,Y,<17,48.5,117.4,42,1
477,23*****,High,Y,17+,64.1,138.0,35,0
478,34*****,Low,N,17+,78.0,102.6,34,0
479,34*****,High,Y,<17,22.0,109.2,40,0
480,45*****,Low,N,<17,38.8,137.3,41,1
481,56*****,High,Y,<17,74.9,181.0,35,1
482,12*****,Medium,Y,<17,26.7,130.9,36,1
483,34*****,Medium,Y,17+,66.4,109.7,36,0
484,56*****,Medium,Y,<17,35.3,144.3,40,1
485,12*****,High,Y,<17,77.4,199.5,36,1
486,56*****,High,Y,<17,44.5,190.2,40,1
487,34*****,High,Y,<17,52.8,129.6,37,1
488,23*****,Medium,Y,<17,74.3,115.8,34,1
489,67*****,High,Y,17+,49.0,147.3,36,1
490,12*****,Medium,Y,<17,27.9,181.7,34,1
491,67*****,Medium,Y,17+,72.5,118.2,42,0
492,23*****,High,Y,17+,48.8,109.4,41,1
493,56*****,High,Y,<17,35.3,148.7,41,1
494,34*****,High,Y,<17,31.2,113.7,36,1
495,56*****,High,Y,17+,46.9,145.6,39,0
496,12*****,High,Y,17+,71.4,189.2,36,0
497,56*****,Medium,Y,17+,56.5,145.2,38,1
498,34*****,Medium,Y,<17,63.4,145.6,35,1
499,23*****,Medium,Y,,66.6,105.2,42,0
500,56*****,High,Y,<17,44.1,148.7,37,1
501,67*****,Medium,Y,<17,65.5,119.8,38,1
502,56*****,Medium,Y,<17,54.5,162.1,36,0
503,12*****,Low,N,<17,35.1,185.0,35,0
504,56*****,High,Y,<17,51.5,187.6,38,0
505,67*****,Medium,Y,<17,57.6,150.2,36,0
506,12*****,Low,N,<17,53.9,186.2,36,1
507,56*****,High,Y,17+,35.6,154.7,38,1
508,67*****,High,Y,17+,51.2,160.2,42,0
509,45*****,High,Y,<17,63.9,182.3,34,0
510,23*****,High,Y,<17,76.0,124.2,42,1
511,34*****,High,Y,17+,62.8,100.9,39,0
512,23*****,Low,N,<17,24.2,124.6,39,0
513,56*****,Medium,Y,<17,26.5,182.7,40,1
514,56*****,High,Y,<17,65.0,113.2,38,1
515,56*****,High,Y,<17,53.2,125.8,41,0
516,23*****,High,Y,17+,23.5,180.4,37,0
517,23*****,Medium,Y,17+,24.5,194.1,41,1
518,12*****,Medium,Y,<17,35.2,189.6,38,1
519,45*****,Medium,Y,<17,31.0,133.9,36,1
520,56*****,Medium,Y,17+,76.8,175.5,39,0
521,34*****,High,Y,<17,56.2,173.3,35,1
522,67*****,High,Y,<17,77.0,100.6,35,0
